category1,num
মাহমুদুল হক,31
শাহীন আখতার,30
আবুল আসাদ,30
হাসান আজিজুল হক,30
টেকচাঁদ ঠাকুর (প্যারীচাঁদ মিত্র),30
আবু ইসহাক,29
বিদ্যুৎ মিত্র,29
কমলকুমার মজুমদার,29
অভিজিৎ রায়,29
অতুলচন্দ্র গুপ্ত,28
রমণীমোহন মল্লিক,28
শেখ মুজিবুর রহমান,28
প্রাচীন বাংলা সাহিত্য,28
কাজী আবদুল ওদুদ,27
শঙ্খ ঘোষ,27
ভগিনী নিবেদিতা,27
সুধীন্দ্রনাথ দত্ত,27
শহীদুল্লা কায়সার,27
স্মরণে,27
সাগরময় ঘোষ,27
দেশজুড়ে,27
আকবর আলি খান,26
দেবেশ রায়,26
শওকত আলী,26
শহীদুল জহির,25
হেমচন্দ্র বন্দ্যোপাধ্যায়,25
মনোজ মিত্র,25
সুবোধ সরকার,24
সোমেন চন্দ,24
প্রভাবতী দেবী সরস্বতী,24
সুধীর চক্রবর্তী,24
তপন রায়চৌধুরী,24
ভারতচন্দ্র রায়,24
সুফিয়া কামাল,23
মঈদুল হাসান,23
অভীক সরকার,23
রণেন ঘোষ,21
সুপ্রিয় চৌধুরী,21
সত্যেন্দ্রনাথ দত্ত,21
মোশতাক আহমেদ,21
রাধারানী দেবী,20
রাহুল সাংকৃত্যায়ন,20
আন্তর্জাতিক,20
নারী ও সমাজ,20
সুশীল চৌধুরী,20
প্রতিভা বসু,20
প্রমথনাথ বিশী,20
সুধাংশু শেখর বিশ্বাস,20
সতীশ চন্দ্র,20
ফররুখ আহমদ,20
Onubad - Copy,20
আনোয়ার পাশা,19
অসীম সাহা,19
দক্ষিণারঞ্জন বসু,19
মল্লিকা সেনগুপ্ত,19
Front Page-Detective Fiction,18
চিত্রা দেব,18
ফাল্গুনী মুখোপাধ্যায়,18
প্রতুলচন্দ্র গুপ্ত,18
সৈয়দ ওয়ালিউল্লাহ,18
আবদুল্লাহ আবু সায়ীদ,18
তপন বন্দ্যোপাধ্যায়,17
অমিয় চক্রবর্তী,17
কামিনী রায়,17
মনোরঞ্জন ব্যাপারী,16
জীবনী,16
বানভট্ট,16
হরপ্রসাদ শাস্ত্রী,16
Front Page-Short Stories,16
সায়ন্তনী পূততুন্ড,16
বাংলা উপনিষদ,15
বিষ্ণু দে,15
ত্রৈলোক্যনাথ মুখোপাধ্যায়,15
বই-টই,14
খবরাখবর,14
শাহাদুজ্জামান,14
Front Page-Poetry,14
ধর্ম ও দর্শন,14
যতীন্দ্রমোহন বাগচী,14
মহিউদ্দিন আহমদ,14
ইংরেজি তর্জমা,14
amader-kotha,14
ধীরাজ ভট্টাচার্য,14
আবদুল্লাহ আল-মুতী,13
Front Page-Science Fiction,13
Jibanananda Das,13
অভিজিৎ সেন,13
জয়দেব গোস্বামী,13
ব্যক্তিগত গদ্য,13
অনিল ঘড়াই,12
মুহম্মদ শহীদুল্লাহ,12
শিশু অধিকার,12
সোমব্রত সরকার,12
মৈত্রেয়ী দেবী,12
শিবব্রত বর্মন,12
পার্থ চট্টোপাধ্যায় (নৃতত্ত্ববিদ),12
অক্ষয়কুমার মৈত্রেয়,12
চিত্তরঞ্জন মাইতি,12
মাকিদ হায়দার,12
দক্ষিণারঞ্জন মিত্র মজুমদার,12
দর্শন- রাজনীতি- ইতিহাস,11
কার্টুন,11
রম্য রচনা,11
প্রিয়নাথ মুখোপাধ্যায়,11
বলাইচাঁদ মুখোপাধ্যায় (বনফুল),11
জাতীয়,11
তপন বাগচী,11
আলাউদ্দিন আল আজাদ,11
ষষ্ঠীপদ চট্টোপাধ্যায়,11
সুকান্ত চৌধুরী,10
পাঁচকড়ি বন্দ্যোপাধ্যায়,10
সরদার ফজলুল করিম,10
প্রশান্ত মৃধা,10
কোয়েল তালুকদার,10
Front Page-Tales of Unease,10
বিজ্ঞান ও প্রযুক্তি,10
শিল্প- সংস্কৃতি,10
জাহানারা ইমাম,10
মোতাহের হোসেন চৌধুরী,9
নির্মল সেন,9
চিত্তরঞ্জন দেব,9
শ্রীপান্থ / নিখিল সরকার,9
মৌরি মরিয়ম,9
সঙ্গীতা বন্দ্যোপাধ্যায়,9
কাজী ইমদাদুল হক,9
নবনীতা দেবসেন,9
হিমাদ্রিকিশোর দাশগুপ্ত,9
সাহিত্যের রূপ ও রীতি,9
মনজুরুল হক,9
অমিতাভ ঘোষ,9
সতীনাথ ভাদুড়ী,8
আসাদ চৌধুরী,8
সেলিম আল দীন,8
শাহ আবদুল করিম রচনাসমগ্র,8
হেমন্ত কুমার গঙ্গোপাধ্যায়,8
আয়মান সাদিক,8
গল্প-ফিচার,8
অজেয় রায়,8
ঈশ্বরচন্দ্র গুপ্ত,8
শ্রীজাত বন্দ্যোপাধ্যায়,8
প্রবোধকুমার ভৌমিক,8
কল্লোল লাহিড়ী,8
জলধর সেন,7
নীলিমা ইব্রাহিম,7
কৌটিল্য / চাণক্য / বিষ্ণুগুপ্ত / মল্লনাগ / বাৎস্যায়ন,7
ক্রীড়াজগৎ,7
ভবানীপ্রসাদ সাহু,7
লোকেশ্বর বসু,7
সম্পাদকীয়,7
শামসুদ্দীন আবুল কালাম,7
আবুল বাশার,6
দিব্যেন্দু পালিত,6
রাধাগোবিন্দ বসাক,6
লাইফস্টাইল,6
অভিজিৎ বিনায়ক বন্দ্যোপাধ্যায়,6
রমাপদ চৌধুরী,6
খেলাধূলা,6
সুকুমার সেন,6
সুভাষ মুখোপাধ্যায়,6
প্রভাতকুমার মুখোপাধ্যায়,6
আনিসুজ্জামান,6
ফরহাদ মজহার,5
মহাশ্বেতা দেবী,5
ক্ষিতিমোহন সেন,5
নাটক,5
অভিজ্ঞান রায়চৌধুরী,5
জ্ঞানদানন্দিনী দেবী,4
আবুল হাসান,4
অমর মিত্র,4
সনজীদা খাতুন,4
জাহিদ হােসেন,4
মালিহা তাবাসসুম,4
[],3
শ্যামল গঙ্গোপাধ্যায়,3
Front Page-Autobiography,3
মোহিত কামাল,3
মণীন্দ্র গুপ্ত,3
সৈকত মুখোপাধ্যায়,3
চণ্ডীদাস,3
মোস্তাক আহমাদ দীন,3
মুনীর চৌধুরী,3
আব্দুর রউফ চৌধুরী,3
সুকান্ত গঙ্গোপাধ্যায়,3
প্রবীর ঘোষ,2
দুর্গাদাস লাহিড়ী,2
বিহারীলাল চক্রবর্তী,2
উৎপলকুমার বসু,2
ত্রিদিবকুমার চট্টোপাধ্যায়,2
প্রসেনজিৎ দাশগুপ্ত,2
ওমর খৈয়াম,2
তারাশঙ্কর বন্দ্যোপাধ্যায়,2
সুস্মিতা বন্দ্যোপাধ্যায়,2
বরেন গঙ্গোপাধ্যায়,2
গোলাম মোস্তফা,2
শিবদাস ঘোষ,2
"""https://www.bssnews.net/assets/news_photos/2023/01/25/image-107085-1674626638.jpg""",2
প্রবোধকুমার সান্যাল,2
কালী প্রসন্ন দাস,2
রমেশচন্দ্র সেন,2
শিবনাথ শাস্ত্রী,2
এশিয়া,1
কৌশিক রায়,1
ব,1
ফ,1
অর্থনীতি,1
"""https://www.bssnews.net/assets/news_photos/2023/04/07/image-119673-1680850047.jpg""",1
জীবন সরকার,1
প,1
জগদীশ গুপ্ত,1
"""https://www.bssnews.net/assets/news_photos/2022/12/15/image-100160-1671082071.jpg""",1
ন,1
ধ,1
"""https://www.bssnews.net/assets/news_photos/2022/12/14/image-99954-1670995355.jpg""",1
"""https://www.bssnews.net/assets/news_photos/2022/12/14/image-99993-1671011665.jpg""",1
"""https://www.bssnews.net/assets/news_photos/2023/04/20/image-121798-1681984374.jpg""",1
দ,1
ত,1
ড,1
"""https://www.bssnews.net/assets/news_photos/2022/12/14/image-100029-1671020202.jpg""",1
ঠ,1
Uncategorized,1
হ,1
"""https://www.bssnews.net/assets/news_photos/2023/01/09/image-104145-1673251263.jpg""",1
ম,1
ভ,1
"""https://www.bssnews.net/assets/news_photos/2022/12/15/image-100241-1671105521.jpg""",1
"[""https://parabaas.com/shakti/images/bhismadev_postman.jpg""]",1
স,1
"""https://www.bssnews.net/assets/news_photos/2023/03/03/image-113561-1677822152.jpg""",1
"""https://www.bssnews.net/assets/news_photos/2023/03/17/image-116045-1679029160.jpg""",1
"""https://www.bssnews.net/assets/news_photos/2023/03/30/image-118265-1680162094.jpg""",1
"[""https://parabaas.com/shakti/images/sutapa_fate.jpg""]",1
"[""https://parabaas.com/shakti/images/shakti_rainonkolkata_pic.jpg""]",1
"[""https://parabaas.com/shakti/images/shakti_ican_pic.jpg""]",1
গজেন্দ্রকুমার মিত্র,1
"""https://www.bssnews.net/assets/news_photos/2022/11/16/image-94176-1668573588.jpg""",1
"[""https://parabaas.com/jd/images/kNandini_twentyfive.jpg""]",1
জ্যোতিরিন্দ্র নন্দী,1
ক্ষিতীশচন্দ্র মৌলিক,1
অ,1
"""https://www.bssnews.net/assets/news_photos/2023/01/30/image-107892-1675059891.jpg""",1
"""https://www.bssnews.net/assets/news_photos/2023/01/27/image-107491-1674810268.jpg""",1
শ,1
মাহরীন ফেরদৌস,1
ল,1
র,1
য,1
গৌর মিত্র,1
মুহম্মদ আবদুল হাই,1
কল্যাণ মৈত্র,1
ষ,1
শান্তিরঞ্জন চট্টোপাধ্যায়,1
নরেন্দ্রনাথ মিত্র,1
রবিন দে,1
নাসরীন জাহান,1
পঞ্চানন মালাকর,1
রাবেয়া খাতুন,1
শক্তিপদ রাজগুরু,1
বামাপ্রসাদ মুখোপাধ্যায়,1
তপনকুমার দাস,1
বুলবুল চৌধুরী,1
বোরহানউদ্দিন খান জাহাঙ্গীর,1
ভাগ্যধর হাজারী,1
শিবতোষ ঘোষ,1
শিহাব সরকার,1
মারজুক রাসেল,1
তমাল লাহা,1
চারুচন্দ্র বন্দ্যোপাধ্যায়,1
জ,1
মৃণাল বসুচৌধুরী,1
বর্মন রায়,1
বিপুল কুমার রায়,1
অগ্নি বসু,1
অক্ষয়চন্দ্র সরকার,1
মঞ্জু সরকার,1
মনোজ বসু,1
মহাদেব বন্দ্যোপাধ্যায়,1
গৌতম বন্দ্যোপাধ্যায়,1
অরুণকুমার দত্ত,1
প্রণব সেন,1
আশিস সান্যাল,1
পরেশ সরকার,1
রজনীকান্ত গুহ,1
কেদারনাথ বন্দ্যোপাধ্যায়,1
আবু রুশদ,1
শৈলেন রায়,1
আবুল খায়ের মুসলেহউদ্দিন,1
ও,1
শুভঙ্কর মুখোপাধ্যায়,1
হরিনারায়ণ চট্টোপাধ্যায়,1
আহসান হাবীব (কার্টুনিস্ট),1
আ,1
এ,1
ঐ,1
ক,1
শৈবাল মিত্র,1
ক্ষ,1
খ,1
গ,1
ঘ,1
চ,1
ছ,1
সৌমিত্ৰশংকর দাশগুপ্ত,1
বৈদ্যনাথ বন্দ্যোপাধ্যায়,1
দিলীপকুমার বন্দ্যোপাধ্যায়,1
উত্তম ঘোষ,1
সুকুমার ভট্টাচার্য,1
আফসার আহমেদ,1
সন্তোষকুমার ঘোষ,1
ননী ভৌমিক,1
সাইয়িদ আতীকুল্লাহ,1
নবেন্দু ঘোষ,1
অরূপরতন ঘোষ,1
শুভমানস ঘোষ,1
অলোককৃষ্ণ চক্রবর্তী,1
চারুচন্দ্র চক্রবর্তী (জরাসন্ধ),1
শরীফুল হাসান,1
শৈলজানন্দ মুখোপাধ্যায়,1
লক্ষ্মীদেবী চক্রবর্তী,1
"""https://www.bssnews.net/assets/news_photos/2023/04/24/image-122180-1682330710.jpg""",1
